ID,Name,Concepticon_ID,Concepticon_Gloss,TBL_ID,Coverage
1_above,above,1741,ABOVE,731,0.46
2_all,all,98,ALL,962,0.47
3_theant,the ant,587,ANT,365,1.0
4_thearmpit,the armpit,1886,ARMPIT,92,0.49
5_bad,bad,1292,BAD,1053,0.61
6_thebamboo,the bamboo,1927,BAMBOO,389,0.98
7_thebarleytibetanorhighland,the barley (tibetan or highland),932,BARLEY,411,0.25
8_tobealive,to be alive,1422,BE ALIVE,1087,0.96
9_thebelly,the belly,1251,BELLY,96,0.98
10_belowunder,"below, under",1485,BELOW OR UNDER,732,0.45
11_big,big,1202,BIG,964,1.0
12_thebird,the bird,937,BIRD,326,1.0
13_tobite,to bite,1403,BITE,1753,0.98
14_black,black,163,BLACK,1005,1.0
15_theblood,the blood,946,BLOOD,129,1.0
16_toblowofwind,to blow (of wind),175,BLOW (OF WIND),1738,0.56
17_thebodyhairhairorfur,the body hair (hair or fur),189,HAIR (BODY),266,0.52
18_thebone,the bone,1394,BONE,133,0.98
19_thebranch,the branch,1531,BRANCH,374,0.9
20_thebreastfemale,the breast (female),1402,BREAST,94,0.98
21_toburnintransitive,to burn [intransitive],1428,BURNING,1269,0.96
22_tobuy,to buy,1869,BUY,1516,1.0
23_tochew,to chew,321,CHEW,1424,0.94
24_thechildyounghuman,the child (young human),1304,CHILD (YOUNG HUMAN),169,0.47
25_thecloud,the cloud,1489,CLOUD,7,1.0
26_coldoftemperature,cold (of temperature),1287,COLD,1063,1.0
27_tocome,to come,1446,COME,1491,0.98
28_correctright,correct (right),1725,CORRECT (RIGHT),1045,0.4
29_tocount,to count,1420,COUNT,1640,0.98
30_tocryweep,to cry (weep),1839,CRY,1485,0.98
31_dark,dark,706,DARK,1013,0.48
32_thedaughter,the daughter,1357,DAUGHTER,222,0.53
33_thedew,the dew,1977,DEW,15,0.92
34_todie,to die,1494,DIE,1651,1.0
35_todig,to dig,1418,DIG,1698,0.96
36_dirty,dirty,1230,DIRTY,1086,0.92
37_thedog,the dog,2009,DOG,289,1.0
38_thedream,the dream,2374,DREAM,699,0.98
39_todrink,to drink,1401,DRINK,1370,0.98
40_dry,dry,1398,DRY,1028,0.98
41_thedust,the dust,2,DUST,45,0.92
42_theear,the ear,1247,EAR,81,0.96
43_early,early,672,EARLY,1018,0.88
44_theearthsoil,the earth (soil),1228,EARTH (SOIL),40,0.94
45_theearthworm,the earthworm,2350,EARTHWORM,363,0.49
46_toeat,to eat,1336,EAT,1198,1.0
47_theegg,the egg,744,EGG,450,1.0
48_eight,eight,1705,EIGHT,804,0.88
49_theeye,the eye,1248,EYE,79,0.98
50_far,far,1406,FAR,974,1.0
51_thefather,the father,1217,FATHER,218,0.59
52_thefeather,the feather,1201,FEATHER,299,0.9
53_tofight,to fight,1423,FIGHT,1234,0.96
54_thefire,the fire,221,FIRE,18,1.0
55_firewood,firewood,10,FIREWOOD,534,0.46
56_thefish,the fish,227,FISH,351,1.0
57_five,five,493,FIVE,801,0.94
58_theflea,the flea,232,FLEA,355,0.88
59_tofloat,to float,1574,FLOAT,1553,0.43
60_toflow,to flow,2003,FLOW,1502,0.43
61_theflower,the flower,239,FLOWER,377,1.0
62_toflymovethroughair,to fly (move through air),1441,FLY (MOVE THROUGH AIR),1318,1.0
63_thefog,the fog,249,FOG,16,0.56
64_thefoot,the foot,1301,FOOT,103,1.0
65_theforest,the forest,420,FOREST,50,0.96
66_toforget,to forget,1523,FORGET,1704,0.96
67_four,four,1500,FOUR,800,0.94
68_thefox,the fox,1312,FOX,325,0.32
69_thefrog,the frog,503,FROG,349,0.98
70_thefrontfrontside,the front (front side),2194,FRONT (PART),712,0.92
71_thefrost,the frost,2034,FROST,14,0.48
72_thefruit,the fruit,1507,FRUIT,378,1.0
73_full,full,1429,FULL,984,0.92
74_togive,to give,1447,GIVE,1345,0.98
75_thegoat,the goat,1502,GOAT,276,0.92
76_good,good,1035,GOOD,1052,1.0
77_thegrass,the grass,606,GRASS,436,0.98
78_green,green,1425,GREEN,1009,0.96
79_thehail,the hail,609,HAIL,13,0.9
80_thehairofthehead,the hair (of the head),1040,HAIR,75,1.0
81_thehand,the hand,1277,HAND,107,0.98
82_hard,hard,1884,HARD,1034,0.98
83_heorshethirdpersonsingular,he or she [third person singular],262,HE OR SHE OR IT,934,0.94
84_thehead,the head,1256,HEAD,74,1.0
85_tohear,to hear,1408,HEAR,1682,0.98
86_theheart,the heart,1223,HEART,144,1.0
87_heavy,heavy,1210,HEAVY,1014,0.96
88_here,here,136,HERE,944,0.53
89_tohideconceal,to hide (conceal),602,HIDE (CONCEAL),1169,0.98
90_hightall,high / tall,1265,HIGH,968,0.98
91_tohold,to hold,1448,HOLD,1709,0.96
92_thehoof,the hoof,152,HOOF,264,0.48
93_horizontal,horizontal,2376,HORIZONTAL,1001,0.47
94_thehornkeratinizedskin,the horn (keratinized skin),1393,HORN (ANATOMY),263,0.98
95_thehorse,the horse,615,HORSE,268,0.45
96_hot,hot,1286,HOT,1062,1.0
97_thehouse,the house,1252,HOUSE,494,0.98
98_hundred,hundred,1634,HUNDRED,824,0.51
99_tohunt,to hunt,1435,HUNT,1230,0.98
100_thehusband,the husband,1200,HUSBAND,247,0.49
101_ifirstpersonsingular,I [first person singular],1209,I,928,0.98
102_theice,the ice,617,ICE,17,0.52
103_inside,inside,1606,INSIDE,715,0.98
104_tokill,to kill,1417,KILL,1602,1.0
105_toknead,to knead,274,KNEAD,1594,0.43
106_theknee,the knee,1371,KNEE,101,0.98
107_knife,knife,1352,KNIFE,549,0.43
