ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	ALIGNMENT	NOTE	BORROWING	CHINESE	COGID	COGIDS	HANZI	MORPHEME_STRUCTURE
390	Old_Tibetan		to be alive	gson.po	g s o n + p o	) g s o n + p o			活的	280			
419	Japhug		to be alive	sɯsu	s ɯ s u	) s ɯ s u			活的	280			
443	Old_Tibetan	belly	the belly	pʰo.ba	pʰ o b a	- - pʰ o - - - b a - - - - -			肚子	1298		肚	
456	Khaling	belly	the belly	mupu	m u p u	m u p u - - - - - - - - - -	doubtful		肚子	10241		肚	
457	Limbu	belly	the belly	sappok	s a pp o k	s a - - - - - - pp o k - -			肚子	10241		肚	
472	Japhug	belly	the belly	tɯ-xtu	t ɯ ◦ x t u	( t ɯ ◦ ) x t u			肚子	370		肚	
476	Tangut	belly	the belly	.o¹	o ¹				肚子	10241		肚	
549	Old_Tibetan	big	big	tɕʰe-	tɕʰ e	- - - - tɕʰ e - - ( - - - - - )			大	412		大	
562	Khaling	big	big	ghoɔ̄lpɛ	gʰ oɔ̄ l p ɛ	gʰ oɔ̄ l p ɛ			大	416		大	
563	Limbu	big	big	yɔmba	j ɔ m b a	j ɔ m b a			大	417		大	
578	Japhug	big	big	wxti	w x t i	- - w x t - i - ( - - - - - )			大	29701		大	
602	Old_Tibetan	bird	the bird	bʲa	b ʲ a	- - - - - - - - b ʲ a - - -			鸟	264		鳥	
615	Khaling	bird	the bird	sʌ̄lpu	s ʌ̄ l p u	s ʌ̄ l p u			鸟	452		鳥	
616	Limbu	bird	the bird	pu¹	p u ¹	p u ¹			鸟	1696		鳥	
631	Japhug	bird	the bird	pɣa	p ɣ a	p ɣ a - - -			鸟	462		鳥	
635	Tangut	bird	the bird	.we¹	w e ¹				鸟	462		鳥	
668	Khaling	bite	to bite	kɛt-	k ɛ t ◦	) k ɛ t ◦	=Dulong?		咬	1430		噬	
669	Limbu	bite	to bite	haʔr-	h a ʔ r ◦	h a ʔ r ◦			咬	3202		噬	
684	Japhug	bite	to bite	mtsɯɣ	m ts ɯ ɣ	) m ts ɯ ɣ			咬	2401		噬	
688	Tangut	bite	to bite	gioo¹	g i oo ¹				咬	10182		噬	
708	Old_Tibetan	black	black	nag-	n a g ◦	( - - - ) - - - - - - - ( - - - - ) n a g ◦ ( - - - - - - - - - - - - - - - - )			黑	511		黑	
721	Khaling	black	black	kekêm	k e k ê m	k e - k ê m - - - - - - - - - - - - - -			黑	215		黑	
722	Limbu	black	black	mak	m a k	m a k -			黑	519		黑	
737	Japhug	black	black	ɲaʁ	ɲ a ʁ	( - - - ) - - - - - - - ( - - - - ) ɲ a ʁ - ( - - - - - - - - - - - - - - - - )			黑	511		黑	
741	Tangut	black	black	njaa¹	n j aa ¹				黑	511		黑	
761	Old_Tibetan	blood	the blood	kʰrag	kʰ r a g	kʰ r a g -			血	541		血	
774	Khaling	blood	the blood	hi	h i	( - - - - - - - - - - - - - - - - - - ) h - i - - ( - - - - - )			血	29703		血	
775	Limbu	blood	the blood	makkhi	m a k kʰ i	( m a k - - - - - - - - - - - - - - - ) kʰ - i - - ( - - - - - )			血	29704		血	
790	Japhug	blood	the blood	tɤ-se	t ɤ ◦ s e	( - - - - - - - - - - - - - - - t ɤ ◦ ) s - e - - ( - - - - - )			血	29703		血	
794	Tangut	blood	the blood	sjij¹	s j i j ¹				血	29703		血	
920	Old_Tibetan	bone	the bone	rus	r u s	( - - - - - - - - ) - r u s - - ( - ) - ( - - - - - - - - - - - - - - - - - - - - - - - )			骨头	2		骨	
933	Khaling	bone	the bone	solo	s o l o	s o l o			骨头	658		骨	
934	Limbu	bone	the bone	yɛt	j ɛ t	( - - - - - - - - ) - j ɛ t - - ( - ) - ( - - - - - - - - - - - - - - - - - - - - - - - )			骨头	2		骨	
949	Japhug	bone	the bone	ɕɤrɯ	ɕ ɤ r ɯ	( - - - - - ɕ ɤ - ) - r ɯ - - - ( - ) - ( - - - - - - - - - - - - - - - - - - - - - - - )			骨头	2		骨	
953	Tangut	bone	the bone	rjɨr¹	r j ɨ r ¹				骨头	2		骨	
973	Old_Tibetan		the branch	jal.ga	j a l + g a	- - - - j a l - + g a -				10265			
1002	Japhug		the branch	tɤ-rtaʁ	t ɤ ◦ r t a ʁ	t ɤ ◦ r t a ʁ				693			
1026	Old_Tibetan	breasts	the breast (female)	nu.ma	n u m a	( - - - - - - ) n u - - - ( - - - - - - m a - - - - - - - - - - - - )			乳房	10186		乳	
1039	Khaling	breasts	the breast (female)	nʉs	n ʉ s	( - - - - - - ) n ʉ - - s ( - - - - - - - - - - - - - - - - - - - - )			乳房	10186		乳	
1040	Limbu	breasts	the breast (female)	nu	n u	( - - - - - - ) n u - - - ( - - - - - - - - - - - - - - - - - - - - )			乳房	10186		乳	
1055	Japhug	breasts	the breast (female)	tɯ-nɯ	t ɯ ◦ n ɯ	( - - - t ɯ ◦ ) n ɯ - - - ( - - - - - - - - - - - - - - - - - - - - )			乳房	10186		乳	
1059	Tangut	breasts	the breast (female)	ner²	n e r ²				乳房	10185		乳	
1185	Old_Tibetan		to buy	ɲo	ɲ o	- ɲ o				2122			
1214	Japhug		to buy	χtɯ	χ t ɯ	χ t ɯ				2333			
1238	Old_Tibetan		to chew	ɴtɕʰa	ɴ tɕʰ a	) ɴ tɕʰ a				2742			
1267	Japhug		to chew	nɤŋka	n ɤ ŋ k a	- n ɤ ŋ k a				1534			
1450	Old_Tibetan	cloud	the cloud	sprin	s p r i n	s p r i n - ( - - - - )			云	915		雲	
1463	Khaling	cloud	the cloud	kɵ̂m	k ɵ̂ m	- - - - k ɵ̂ - - - - - - - - m - - - - - - - - - - - - - - - - - - -			云	89		雲	
1464	Limbu	cloud	the cloud	khaʔmit	kʰ a ʔ m i t	- - - - kʰ a ʔ - - - - - - - m i - - t - - - - - - - - - - - - - - -			云	89		雲	
1479	Japhug	cloud	the cloud	zdɯm	z d ɯ m	z d ɯ - - m -			云	927		雲	
1483	Tangut	cloud	the cloud	djɨ̣j²	d j ɨ̣ j ²				云	927		雲	
1503	Old_Tibetan	cold	cold (of temperature)	graŋ-	g r a ŋ ◦	- - g r a ŋ - - ( ◦ - - - )			冷	933		寒	
1516	Khaling	cold	cold (of temperature)	tshʌkpɛ	tsʰ ʌ k p ɛ	tsʰ ʌ k - - ( - - - - - p ɛ - - - - ) - ( - - - )			冷	325		寒	
1517	Limbu	cold	cold (of temperature)	ci:kt-	c i: k t ◦	c i: k t ◦ ( - - - - - - - - - - - ) - ( - - - )			冷	325		寒	
1532	Japhug	cold	cold (of temperature)	mɯɕtaʁ	m ɯ ɕ t a ʁ	( - - - m ɯ - ) ɕ t a ʁ			冷	1002		寒	
1536	Tangut	cold	cold (of temperature)	dạ²	d ạ ²				冷	1002		寒	
1556	Old_Tibetan	come	to come	joŋ-	j o ŋ	- j o ŋ			来	2445		來	
1569	Khaling	come	to come	pi-	p i ◦	) p i ◦			来	759		來	
1570	Limbu	come	to come	phɛn-	pʰ ɛ n ◦	) pʰ ɛ n ◦			来	759		來	
1585	Japhug	come	to come	ɣi	ɣ i	- ɣ i			来	759		來	
1589	Tangut	come	to come	ljịj²	l j ị j ²				来	10244		來	
1715	Old_Tibetan		to count	rtsi	r ts i	) r ts i			数	1019			
1744	Japhug		to count	rtsi	r ts i	) r ts i		tib[rtsi]	数	1019			
1768	Old_Tibetan		to cry (weep)	ŋu	ŋ u	- ŋ u				1127			
1797	Japhug		to cry (weep)	ɣɤwu	ɣ ɤ w u	- ɣ ɤ w u				1127			
1927	Old_Tibetan	die	to die	ɕi-	ɕ i	) ɕ i			死	163		死	
1940	Khaling	die	to die	mit-	m i t +	m i t +			死	2227		死	
1941	Limbu	die	to die	si-	s i +	) s i +			死	163		死	
1956	Japhug	die	to die	si	s i	) s i			死	163		死	
1960	Tangut	die	to die	sji²	s j i ²				死	163		死	
1980	Old_Tibetan		to dig	rko	r k o	) r k o			挖	2548			
2009	Japhug		to dig	lɣa	l ɣ a	l ɣ a			挖	3223			
2033	Old_Tibetan		dirty	btsog	b ts o g	b ts o g - ( - - - - - - )			脏	599			
2062	Japhug		dirty	ɴqʰi	ɴ qʰ i	- ɴ qʰ - i			脏	1104			
2086	Old_Tibetan	dog	the dog	kʰʲi	kʰʲ i	( - - - - - - - - - - - - ) kʰʲ - i - - ( - ) - ( - ) - - ( - - - - - )			狗	2065		犬	
2099	Khaling	dog	the dog	khlêːp	kʰ l êː p	kʰ l êː p ( - - )			狗	656		犬	
2100	Limbu	dog	the dog	kotco	k o t c o	k o t - - - c o			狗	764		犬	
2115	Japhug	dog	the dog	khɯna	kʰ ɯ n a	( - - - - - - - - - - - - ) kʰ - ɯ - - ( - ) - ( - ) - - ( - - - n a )			狗	2065		犬	
2119	Tangut	dog	the dog	khjwɨ¹	kʰ j w ɨ ¹				狗	2065		犬	
2139	Old_Tibetan		the dream	rmi.lam	r m i + l a m	( - - - - - - - - - - - - - - - - - - - - ) r m - i - - - - - - ( - + l a m - - - - - - - - - )				10555			
2168	Japhug		the dream	tɯ-jmŋo	t ɯ ◦ j m ŋ o	( - - - - - - - - - - - - t ɯ ◦ - - - - - ) j m ŋ - o - - - - - ( - - - - - - - - - - - - - - )				10217			
2192	Old_Tibetan	drink	to drink	ɴtʰuŋ, btuŋs	ɴ tʰ u ŋ	) ɴ tʰ u ŋ			喝	2228		飲	
2205	Khaling	drink	to drink	tuŋ-	t u ŋ ◦	) t u ŋ ◦			喝	2228		飲	
2206	Limbu	drink	to drink	thuŋ-	tʰ u ŋ ◦	) tʰ u ŋ ◦			喝	2228		飲	
2221	Japhug	drink	to drink	tsʰi	tsʰ i	- tsʰ i			喝	2416		飲	
2225	Tangut	drink	to drink	thji²	tʰ j i ²				喝	2416		飲	
2245	Old_Tibetan	dry	dry	skam-	s k a m ◦	s k a ( - ) - m ( - ◦ - - - )			干	1092		乾	
2258	Khaling	dry	dry	dhoŋ	dʰ o ŋ	dʰ o ŋ			干	875		乾	
2259	Limbu	dry	dry	kaŋ-	k a ŋ ◦	k a ŋ ◦			干	505		乾	
2274	Japhug	dry	dry	zbaʁ	z b a ʁ	z b a ʁ			干	1199		乾	
2278	Tangut	dry	dry	rowr¹	r o w r ¹				干	993		乾	
2298	Old_Tibetan		the dust	rdul	r d u l	( - - - - - - - - - - - - - - ) - r d - u l - ( - - - - )			尘土	507			
