NUMBER	ENGLISH	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	COVERAGE
`*`1	above	0731	1741	ABOVE	0.46
`*`2	all	0962	98	ALL	0.47
3	the ant	0365	587	ANT	1.00
`*`4	the armpit	0092	1886	ARMPIT	0.49
`*`5	bad	1053	1292	BAD	0.61
6	the bamboo	0389	1927	BAMBOO	0.98
`*`7	the barley (tibetan or highland)	0411	932	BARLEY	0.25
8	to be alive	1087	1422	BE ALIVE	0.96
9	the belly	0096	1251	BELLY	0.98
`*`10	below, under	0732	1485	BELOW OR UNDER	0.45
11	big	0964	1202	BIG	1.00
12	the bird	0326	937	BIRD	1.00
13	to bite	1753	1403	BITE	0.98
14	black	1005	163	BLACK	1.00
15	the blood	0129	946	BLOOD	1.00
`*`16	to blow (of wind)	1738	175	BLOW (OF WIND)	0.56
`*`17	the body hair (hair or fur)	0266	189	HAIR (BODY)	0.52
18	the bone	0133	1394	BONE	0.98
19	the branch	0374	1531	BRANCH	0.90
20	the breast (female)	0094	1402	BREAST	0.98
21	to burn [intransitive]	1269	1428	BURNING	0.96
22	to buy	1516	1869	BUY	1.00
23	to chew	1424	321	CHEW	0.94
`*`24	the child (young human)	0169	1304	CHILD (YOUNG HUMAN)	0.47
25	the cloud	0007	1489	CLOUD	1.00
26	cold (of temperature)	1063	1287	COLD	1.00
27	to come	1491	1446	COME	0.98
`*`28	correct (right)	1045	1725	CORRECT (RIGHT)	0.40
29	to count	1640	1420	COUNT	0.98
30	to cry (weep)	1485	1839	CRY	0.98
`*`31	dark	1013	706	DARK	0.48
`*`32	the daughter	0222	1357	DAUGHTER	0.53
33	the dew	0015	1977	DEW	0.92
34	to die	1651	1494	DIE	1.00
35	to dig	1698	1418	DIG	0.96
36	dirty	1086	1230	DIRTY	0.92
37	the dog	0289	2009	DOG	1.00
38	the dream	0699	2374	DREAM	0.98
39	to drink	1370	1401	DRINK	0.98
40	dry	1028	1398	DRY	0.98
41	the dust	0045	2	DUST	0.92
42	the ear	0081	1247	EAR	0.96
43	early	1018	672	EARLY	0.88
44	the earth (soil)	0040	1228	EARTH (SOIL)	0.94
`*`45	the earthworm	0363	2350	EARTHWORM	0.49
46	to eat	1198	1336	EAT	1.00
47	the egg	0450	744	EGG	1.00
48	eight	0804	1705	EIGHT	0.88
49	the eye	0079	1248	EYE	0.98
50	far	0974	1406	FAR	1.00
`*`51	the father	0218	1217	FATHER	0.59
52	the feather	0299	1201	FEATHER	0.90
53	to fight	1234	1423	FIGHT	0.96
54	the fire	0018	221	FIRE	1.00
`*`55	firewood	0534	10	FIREWOOD	0.46
56	the fish	0351	227	FISH	1.00
57	five	0801	493	FIVE	0.94
58	the flea	0355	232	FLEA	0.88
`*`59	to float	1553	1574	FLOAT	0.43
`*`60	to flow	1502	2003	FLOW	0.43
61	the flower	0377	239	FLOWER	1.00
62	to fly (move through air)	1318	1441	FLY (MOVE THROUGH AIR)	1.00
`*`63	the fog	0016	249	FOG	0.56
64	the foot	0103	1301	FOOT	1.00
65	the forest	0050	420	FOREST	0.96
66	to forget	1704	1523	FORGET	0.96
67	four	0800	1500	FOUR	0.94
`*`68	the fox	0325	1312	FOX	0.32
69	the frog	0349	503	FROG	0.98
