ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	RGEN	HANZI	SOURCE	ENTRY_IN_SOURCE
19	Old_Tibetan		above	steŋ	s t e ŋ				20				
48	Japhug		above	ɯ-taʁ	ɯ ◦ t a ʁ				49				ɯ-taʁ
72	Old_Tibetan	all	all	tʰams.tɕad	tʰ a m s ◦ tɕ a d			全部	3682		凡		tʰams.tɕad
85	Khaling	all	all	kʰøle	kʰ ø l e			全部	1273		凡		kʰøle
86	Limbu	all	all	kak	k a k			全部	1320		凡		kak
101	Japhug	all	all	tʰamtɕɤt	tʰ a m tɕ ɤ t		tib[tʰams.tɕad]	全部	3682		凡		%tʰamtɕɤt
105	Tangut	all	all	zji¹	z j i ¹			全部	0		凡		zji¹
284	Old_Tibetan		bad	ŋan-	ŋ a n			坏	245				
313	Japhug		bad	ŋɤn	ŋ ɤ n		tib[ŋan]	坏	245				%ŋɤn
390	Old_Tibetan		to be alive	gson.po	g s o n + p o			活的	280				
419	Japhug		to be alive	sɯsu	s ɯ s u			活的	280				sɯsu
443	Old_Tibetan	belly	the belly	pʰo.ba	pʰ o b a			肚子	1298		肚		pʰo.ba
456	Khaling	belly	the belly	mupu	m u p u	doubtful		肚子	10241		肚		mupu
457	Limbu	belly	the belly	sappok	s a pp o k			肚子	10241		肚		sappok
472	Japhug	belly	the belly	tɯ-xtu	t ɯ ◦ x t u			肚子	370		肚		tɯ-xtu
476	Tangut	belly	the belly	.o¹	o ¹			肚子	10241		肚		.o¹
496	Old_Tibetan		below, under	gɕam	g ɕ a m				380				
525	Japhug		below, under	ɯ-pa	ɯ ◦ p a				396				ɯ-pa
549	Old_Tibetan	big	big	tɕʰe-	tɕʰ e			大	412		大		tɕʰe-
562	Khaling	big	big	ghoɔ̄lpɛ	gʰ oɔ̄ l p ɛ			大	416		大		ghoɔ̄lpɛ
563	Limbu	big	big	yɔmba	j ɔ m b a			大	417		大		yɔmba
578	Japhug	big	big	wxti	w x t i			大	29701		大		wxti
602	Old_Tibetan	bird	the bird	bʲa	b ʲ a			鸟	264		鳥		bʲa
615	Khaling	bird	the bird	sʌ̄lpu	s ʌ̄ l p u			鸟	452		鳥		sʌ̄lpu
616	Limbu	bird	the bird	pu¹	p u ¹			鸟	1696		鳥		pu¹
631	Japhug	bird	the bird	pɣa	p ɣ a			鸟	462		鳥		pɣa
635	Tangut	bird	the bird	.we¹	w e ¹			鸟	462		鳥		.we¹
668	Khaling	bite	to bite	kɛt-	k ɛ t ◦	=Dulong?		咬	1430		噬		kɛt-
669	Limbu	bite	to bite	haʔr-	h a ʔ r ◦			咬	3202		噬		haʔr-
684	Japhug	bite	to bite	mtsɯɣ	m ts ɯ ɣ			咬	2401		噬		mtsɯɣ
688	Tangut	bite	to bite	gioo¹	g i oo ¹			咬	10182		噬		gioo¹
708	Old_Tibetan	black	black	nag-	n a g ◦			黑	511		黑		nag-
721	Khaling	black	black	kekêm	k e k ê m			黑	215		黑		kekêm
722	Limbu	black	black	mak	m a k			黑	519		黑		mak
737	Japhug	black	black	ɲaʁ	ɲ a ʁ			黑	511		黑		ɲaʁ
741	Tangut	black	black	njaa¹	n j aa ¹			黑	511		黑		njaa¹
761	Old_Tibetan	blood	the blood	kʰrag	kʰ r a g			血	541		血		kʰrag
774	Khaling	blood	the blood	hi	h i			血	29703		血		hi
775	Limbu	blood	the blood	makkhi	m a k kʰ i			血	29704		血		makkhi
790	Japhug	blood	the blood	tɤ-se	t ɤ ◦ s e			血	29703		血		tɤ-se
794	Tangut	blood	the blood	sjij¹	s j i j ¹			血	29703		血		sjij¹
814	Old_Tibetan		to blow (of wind)	rluŋ.laŋs	r l u ŋ + l a ŋ s			吹	574				
843	Japhug		to blow (of wind)	qale βzu	q a l e  β z u			吹	3046				ɣɤmɯt
920	Old_Tibetan	bone	the bone	rus	r u s			骨头	2		骨		rus
933	Khaling	bone	the bone	solo	s o l o			骨头	658		骨		solo
